Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
OXCA,2022-OXCA-BK-085,BK,8/10/22,2,T,3,1.444,1.444,1.347,"yes, MAS altered",AV,,173,.,206,72,4.86,67.1,193,183,61,51.7,9.4
OXCA,2022-OXCA-BK-086,BK,8/10/22,2,T,3,1.45,1.45,1.374,"yes, MAS altered",AV,,170,.,200,60.4,2.79,57.6,193,186,61.6,54.2,7.5
OXCA,2022-OXCA-BK-087,BK,8/10/22,1,T,2,1.218,1.218,1.111,"yes, MAS",AV,,147,.,178,38.5,1.8,36.7,170,159,40.8,33.1,7.7
OXCA,2022-OXCA-BK-088,BK,8/10/22,4,T,5,1.602,1.602,1.557,"yes, MAS altered",AV,,189,.,224,98.4,7.57,90.8,209,204,78.6,73.3,5.3
OXCA,2022-OXCA-BK-089,BK,8/10/22,3,T,4,1.496,1.496,1.435,"yes, MAS altered",AV,,158,.,187,51.4,2.62,48.8,198,192,66.5,60.1,6.4
OXCA,2022-OXCA-BK-090,BK,8/10/22,3,T,4,1.535,1.535,1.404,"yes, MAS altered",AV,,171,.,205,68.8,3.26,65.5,202,189,70.8,57,13.7
OXCA,2022-OXCA-BK-091,BK,8/10/22,4,T,5,1.728,1.728,1.669,"yes, MAS altered",AV,,185,.,218,96.8,4.83,92,222,216,94.9,87,7.9
OXCA,2022-OXCA-BK-092,BK,8/10/22,3,T,4,1.644,1.59,1.5,"yes, MAS altered",AV,,172,.,204,60,3.99,56,208,199,77.2,66.9,10.3
OXCA,2022-OXCA-BK-093,BK,8/10/22,1,T,2,1.351,1.351,1.231,"yes, MAS altered",AV,,154,.,182,44.4,1.91,42.5,183,171,52,41.8,10.2
OXCA,2022-OXCA-BK-094,BK,8/10/22,4,T,5,1.675,1.675,1.598,"yes, MAS altered",AV,,200,.,237,118.6,5.67,112.9,216,209,87.8,78.1,9.7
