Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,
EMJA,2022-EMJA-BK-054,BK,8/10/22,1,T,1,3.230,2.719,0.000,"yes, MAS altered",RJ,,150,175,193,140.7,0.58,140.12,142,0,55.2,0.0,55.2,,
EMJA,2022-EMJA-BK-055,BK,8/10/22,1,T,1,3.860,3.180,0.000,"yes, MAS altered",RJ,,159,185,204,152.0,0.76,151.24,171,0,96.3,0.0,96.3,,
EMJA,2022-EMJA-BK-056,BK,8/10/22,1,T,1,3.444,3.100,0.000,"yes, MAS altered",RJ,,149,175,193,134.9,0.09,134.81,166,0,88.0,0.0,88.0,,
EMJA,2022-EMJA-BK-057,BK,8/17/22,2,O,1,3.639,2.959,0.000,"yes, MAS altered",MAS,,160,191,210,189.2,1.35,187.85,157,0,74.7,0.0,74.7,,
EMJA,2022-EMJA-BK-058,BK,8/17/22,1,O,1,3.091,2.258,0.000,"don't use, poor structure",RJ,,150,175,191,132.7,1.73,130.97,,0,,,,,
EMJA,2022-EMJA-BK-059,BK,8/17/22,1,T,1,3.406,2.776,0.000,"yes, MAS",RJ,,148,172,188,123.5,0.07,123.43,146,0,59.5,0.0,59.5,,
EMJA,2022-EMJA-BK-060,BK,8/17/22,2,O,1,3.277,2.664,0.000,"yes, MAS altered",RJ,,139,165,178,119.2,1.84,117.36,139,0,51.3,0.0,51.3,,
EMJA,2022-EMJA-BK-061,BK,8/17/22,2,O,1,3.432,2.838,0.000,"yes, MAS altered",RJ,,148,175,193,141.4,,141.40,150,0,64.4,0.0,64.4,,
EMJA,2022-EMJA-BK-062,BK,8/17/22,2,O,1,3.405,2.871,0.000,"yes, MAS altered",RJ,,155,183,200,151.1,0.44,150.66,152,0,67.1,0.0,67.1,,
EMJA,2022-EMJA-BK-063,BK,8/17/22,0,O,0,2.406,0.000,0.000,"don't use, YOY",MAS,,93,111,120,32.9,0.02,32.88,,0,,,,,
EMJA,2022-EMJA-BK-064,BK,8/17/22,2,O,1,3.396,2.740,0.000,"yes, MAS altered",RJ ,,139,163,180,118.3,0.05,118.25,144,0,56.7,0.0,56.7,,
EMJA,2022-EMJA-BK-065,BK,8/17/22,2,O,1,3.631,2.904,0.000,"yes, MAS altered",RJ,,159,185,206,173.4,2.71,170.69,154,0,69.9,0.0,69.9,,
EMJA,2022-EMJA-BK-066,BK,8/17/22,1,T,1,3.285,2.711,0.000,"yes, MAS altered",RJ,,140,164,180,111.4,1.52,109.88,142,0,54.6,0.0,54.6,,
EMJA,2022-EMJA-BK-067,BK,8/17/22,3,O,3,4.180,3.885,3.687,"yes, MAS altered",RJ,,183,212,234,259.9,2.76,257.14,214,202,192.6,161.0,31.6,,
EMJA,2022-EMJA-BK-068,BK,8/17/22,2,O,1,3.358,2.707,0.000,"yes, MAS altered",RJ,,153,181,196,153.4,2.45,150.95,142,0,54.3,0.0,54.3,,
EMJA,2022-EMJA-BK-069,BK,8/17/22,2,O,1,3.485,2.862,0.000,"yes, MAS altered",RJ,,143,169,185,128.1,0.73,127.37,151,0,66.3,0.0,66.3,,
EMJA,2022-EMJA-BK-070,BK,8/17/22,,,,,,,"don't use, broken",,,148,176,195,142.0,2.45,139.55,,0,,,,,
EMJA,2022-EMJA-BK-071,BK,8/17/22,2,O,1,3.435,2.602,0.000,"yes, MAS altered",RJ,,155,181,197,167.5,2.68,164.82,135,0,47.1,0.0,47.1,,
EMJA,2022-EMJA-BK-072,BK,8/17/22,2,O,1,3.515,2.969,0.000,"yes, MAS altered",RJ,,152,180,197,167.2,1.53,165.67,158,0,75.6,0.0,75.6,,
EMJA,2022-EMJA-BK-073,BK,8/17/22,2,O,1,3.687,3.048,0.000,"yes, MAS altered",RJ,,150,175,195,153.5,0.35,153.15,163,0,82.9,0.0,82.9,,
EMJA,2022-EMJA-BK-074,BK,8/17/22,0,O,0,2.438,0.000,0.000,"don't use, YOY",MAS,,103,125,134,45.0,0.02,44.98,,0,,,,,
EMJA,2022-EMJA-BK-075,BK,8/30/22,1,T,1,3.518,2.936,0.000,"yes, MAS",RJ ,,145,171,187,145.6,0.09,145.51,156,0,72.6,0.0,72.6,,
EMJA,2022-EMJA-BK-076,BK,8/30/22,4,O,3,4.074,3.724,3.188,"yes, MAS altered",RJ,,187,216,242,284.0,6.60,277.40,204,171,166.6,97.1,69.5,,
EMJA,2022-EMJA-BK-077,BK,8/30/22,1,T,1,3.304,2.763,0.000,"yes, MAS",RJ,,147,172,192,137.1,1.74,135.36,145,0,58.5,0.0,58.5,,
EMJA,2022-EMJA-BK-078,BK,8/30/22,2,T,2,3.733,3.302,2.650,"yes, MAS altered",RJ,,166,192,217,202.8,2.90,199.90,178,138,109.8,50.3,59.5,,
