Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,
EMJA,2022-EMJA-WNR-068,WNR,8/17/22,2,O,1,3.374,2.955,0.000,"yes, MAS altered",RJ,,136,162,177,110.6,0.34,110.26,157,0,74.3,0.0,74.3,,
EMJA,2022-EMJA-WNR-069,WNR,8/17/22,2,O,1,3.661,3.143,0.000,"yes, MAS altered",RJ,,156,183,200,162.7,2.21,160.49,168,0,92.4,0.0,92.4,,
EMJA,2022-EMJA-WNR-070,WNR,8/17/22,2,O,1,3.311,2.742,0.000,"yes, MAS altered",RJ,,129,153,167,99.0,0.08,98.92,144,0,56.9,0.0,56.9,,
EMJA,2022-EMJA-WNR-071,WNR,8/17/22,5,O,5,4.128,3.921,3.707,"yes, MAS",RJ,,184,215,237,290.9,3.83,287.07,216,203,198.8,164.0,34.8,,
EMJA,2022-EMJA-WNR-072,WNR,8/17/22,1,T,1,3.539,2.884,0.000,"yes, MAS altered",RJ,,141,165,180,125.1,0.56,124.54,153,0,68.2,0.0,68.2,,
EMJA,2022-EMJA-WNR-073,WNR,8/17/22,0,O,0,2.425,0.000,0.000,"don't use, YOY",RJ,,98,117,127,37.0,0.01,36.99,,0,,,,,
EMJA,2022-EMJA-WNR-074,WNR,9/1/22,2,O,1,3.525,3.006,0.000,"yes, MAS altered",RJ,,150,175,193,146.5,0.23,146.27,160,0,79.0,0.0,79.0,,
EMJA,2022-EMJA-WNR-075,WNR,9/1/22,1,T,1,3.649,3.193,0.000,"yes, MAS",RJ,,147,171,184,137.5,0.40,137.10,172,0,97.7,0.0,97.7,,
EMJA,2022-EMJA-WNR-076,WNR,9/14/22,2,O,1,3.357,2.805,0.000,"yes, MAS altered",RJ,,155,180,198,153.4,2.98,150.42,148,0,61.7,0.0,61.7,,
EMJA,2022-EMJA-WNR-077,WNR,9/14/22,2,O,1,3.510,2.817,0.000,"yes, MAS altered",RJ,,148,173,192,125.7,0.16,125.54,148,0,62.7,0.0,62.7,,
EMJA,2022-EMJA-WNR-078,WNR,9/14/22,2,O,1,3.628,3.093,0.000,"yes, MAS altered",RJ,,149,175,195,133.6,2.44,131.16,165,0,87.3,0.0,87.3,,
EMJA,2022-EMJA-WNR-079,WNR,9/14/22,0,O,0,2.667,0.000,0.000,"don't use, YOY",RJ,,98,119,130,38.7,0.01,38.69,,0,,,,,
EMJA,2022-EMJA-WNR-080,WNR,9/14/22,1,T,1,3.876,3.240,0.000,"yes, MAS altered",RJ,,153,181,199,170.6,1.61,168.99,174,0,102.8,0.0,102.8,,
EMJA,2022-EMJA-WNR-081,WNR,9/14/22,2,O,1,3.833,3.283,0.000,"yes, MAS altered",RJ,,141,166,185,128.1,1.88,126.22,177,0,107.6,0.0,107.6,,
EMJA,2022-EMJA-WNR-082,WNR,9/14/22,2,O,1,3.547,3.062,0.000,"yes, MAS altered",RJ,,143,164,182,122.0,0.30,121.70,163,0,84.3,0.0,84.3,,
EMJA,2022-EMJA-WNR-083,WNR,9/14/22,3,O,3,3.993,3.618,3.248,"yes, MAS altered",RJ,,176,205,225,250.0,0.34,249.66,198,175,150.8,103.7,47.1,,
EMJA,2022-EMJA-WNR-084,WNR,9/14/22,1,T,1,3.536,2.986,0.000,"yes, MAS altered",RJ,,144,172,189,129.4,1.90,127.50,159,0,77.1,0.0,77.1,,
EMJA,2022-EMJA-WNR-085,WNR,9/14/22,2,O,1,3.432,2.712,0.000,"yes, MAS altered",RJ,,151,175,196,141.0,2.05,138.95,142,0,54.7,0.0,54.7,,
EMJA,2022-EMJA-WNR-086,WNR,9/14/22,2,O,2,3.804,3.650,3.494,"don't use, poor structure",RJ,,153,179,197,152.7,0.26,152.44,,,,,,,
EMJA,2022-EMJA-WNR-087,WNR,9/28/22,0,T,0,2.959,0.000,0.000,"don't use, YOY",RJ,,117,135,144,63.4,1.34,62.06,,0,,,,,
EMJA,2022-EMJA-WNR-088,WNR,9/28/22,2,O,1,3.480,2.993,0.000,"yes, MAS altered",RJ,,150,174,190,117.7,0.47,117.23,159,0,77.8,0.0,77.8,,
EMJA,2022-EMJA-WNR-089,WNR,9/28/22,2,O,1,3.584,2.972,0.000,"yes, MAS altered",RJ,,155,183,200,150.9,2.12,148.78,158,0,75.8,0.0,75.8,,
EMJA,2022-EMJA-WNR-090,WNR,9/28/22,4,O,4,3.942,3.663,3.339,"don't use, poor structure",RJ,,185,210,232,256.5,0.38,256.12,,,,,,,
EMJA,2022-EMJA-WNR-091,WNR,9/28/22,2,O,1,3.696,3.141,0.000,"yes, MAS altered",RJ,,150,172,190,151.1,0.11,150.99,168,0,92.2,0.0,92.2,,
EMJA,2022-EMJA-WNR-092,WNR,9/28/22,3,O,3,4.214,3.947,3.426,"yes, MAS",RJ,,176,199,220,214.3,3.78,210.52,218,186,203.3,124.9,78.4,,
EMJA,2022-EMJA-WNR-093,WNR,9/28/22,2,T,3,3.878,3.362,2.493,"yes, MAS altered",RJ,,174,197,220,208.6,2.11,206.49,182,129,117.0,40.3,76.7,,
EMJA,2022-EMJA-WNR-094,WNR,9/28/22,2,O,1,3.353,2.854,0.000,"yes, MAS altered",RJ,,156,178,196,129.6,0.10,129.50,151,0,65.7,0.0,65.7,,
EMJA,2022-EMJA-WNR-095,WNR,9/28/22,1,T,1,3.532,3.025,0.000,"yes, MAS altered",RJ,,158,181,201,152.8,1.92,150.88,161,0,80.7,0.0,80.7,,
EMJA,2022-EMJA-WNR-096,WNR,9/28/22,2,O,1,3.446,2.777,0.000,"yes, MAS altered",RJ,,150,176,195,143.8,2.31,141.49,146,0,59.5,0.0,59.5,,
EMJA,2022-EMJA-WNR-097,WNR,9/28/22,2,O,1,3.704,3.066,0.000,"yes, MAS altered",RJ,,160,182,201,164.9,2.43,162.47,164,0,84.7,0.0,84.7,,
EMJA,2022-EMJA-WNR-098,WNR,9/28/22,0,T,0,2.883,0.000,0.000,"don't use, YOY",RJ,,121,140,153,64.5,0.62,63.88,,0,,,,,
EMJA,2022-EMJA-WNR-099,WNR,9/28/22,2,O,2,3.499,2.987,0.000,"yes, MAS altered",RJ,,151,175,192,142.4,2.50,139.90,159,0,77.2,0.0,77.2,,
EMJA,2022-EMJA-WNR-100,WNR,9/28/22,2,O,2,3.784,3.543,3.091,"yes, MAS altered",RJ,,166,189,207,179.5,2.99,176.51,193,165,140.3,87.1,53.2,,
EMJA,2022-EMJA-WNR-101,WNR,9/28/22,5,O,5,4.505,4.347,4.071,"yes, MAS",RJ,,193,218,240,288.1,4.31,283.79,242,225,282.2,225.9,56.3,,
EMJA,2022-EMJA-WNR-102,WNR,9/28/22,2,O,1,3.672,2.937,0.000,"yes, MAS altered",RJ,,153,178,197,140.9,2.23,138.67,156,0,72.7,0.0,72.7,,
EMJA,2022-EMJA-WNR-103,WNR,9/28/22,2,O,1,3.808,3.302,0.000,"yes, MAS altered",RJ,,162,186,205,163.9,0.38,163.52,178,0,109.8,0.0,109.8,,
EMJA,2022-EMJA-WNR-104,WNR,9/28/22,2,O,1,3.539,3.044,0.000,"yes, MAS altered",RJ,,149,171,190,133.1,1.94,131.16,162,0,82.5,0.0,82.5,,
EMJA,2022-EMJA-WNR-105,WNR,9/28/22,5,O,5,4.309,4.105,3.911,"yes, MAS",RJ,,191,220,247,300.7,6.66,294.04,228,216,232.4,197.1,35.4,,
EMJA,2022-EMJA-WNR-106,WNR,9/28/22,0,T,0,2.790,0.000,0.000,"don't use, YOY",MAS,,123,140,153,66.8,1.18,65.62,,0,,,,,
EMJA,2022-EMJA-WNR-107,WNR,9/28/22,4,O,4,4.060,3.872,3.704,"yes, MAS",RJ,,185,214,235,251.5,2.54,248.96,213,203,190.4,163.5,26.9,,
EMJA,2022-EMJA-WNR-108,WNR,9/28/22,4,O,4,4.221,3.884,3.707,"don't use, poor structure",RJ,,176,202,222,210.0,0.36,209.64,,,,,,,
EMJA,2022-EMJA-WNR-109,WNR,9/28/22,5,O,5,4.089,3.945,3.722,"don't use, poor structure",RJ,,176,203,223,225.7,3.49,222.21,,,,,,,
EMJA,2022-EMJA-WNR-110,WNR,9/28/22,2,O,1,3.599,2.977,0.000,"yes, MAS altered",RJ,,157,186,202,145.5,2.10,143.40,158,0,76.3,0.0,76.3,,
EMJA,2022-EMJA-WNR-111,WNR,9/28/22,3,O,2,3.880,3.363,2.670,"yes, MAS altered",RJ,,169,195,215,190.2,3.64,186.56,182,139,117.1,51.7,65.4,,
