Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-032,BK,6/22/22,4,T,5,5.457,5.457,4.835,"yes, MAS altered",KR,MAS,275,325,340,498.2,23.22,475.0,342,300,488.3,326.0,162.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-033,BK,6/22/22,,,,,,,"don't use, deformed",KR,MAS,257,309,320,477.0,20.28,456.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-034,BK,6/22/22,7,T,8,5.668,5.668,5.406,"yes, MAS altered",KR,MAS,287,342,359,536.3,21.96,514.3,356,339,553.8,473.3,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-035,BK,6/22/22,3,T,4,5.142,5.142,4.385,"yes, MAS altered",KR,MAS,257,305,317,436.7,16.37,420.3,321,270,400.6,234.6,166.0,,,,,,,,,,,,,,,,,5.545,5.735,,,,,,,,,
PACL,2022-PACL-BK-036,BK,6/22/22,,,,,,,,KR,MAS,262,309,327,394.6,16.17,378.4,,0,,,,,,,,,,,,,,,,,,,,5.982,6.097,,,,,,,,,
PACL,2022-PACL-BK-037,BK,6/22/22,,,,,,,,KR,MAS,284,334,346,547.1,29.57,517.5,,0,,,,,,,,,,,,,,,,,,,,5.556,5.730,,,,,,,,,
PACL,2022-PACL-BK-038,BK,6/22/22,,,,,,,,KR,MAS,240,285,296,312.4,9.49,302.9,,0,,,,,,,,,,,,,,,,,,,,4.780,4.848,,,,,,,,,
PACL,2022-PACL-BK-039,BK,6/22/22,,,,,,,,KR,MAS,285,339,354,505.8,21.00,484.8,,0,,,,,,,,,,,,,,,,,,,,5.171,5.248,,,,,,,,,
PACL,2022-PACL-BK-040,BK,6/22/22,,,,,,,,KR,MAS,269,319,331,453.2,12.90,440.3,,0,,,,,,,,,,,,,,,,,,,,4.692,4.786,,,,,,,,,
PACL,2022-PACL-BK-041,BK,6/22/22,,,,,,,,KR,MAS,267,318,334,449.1,20.30,428.8,,0,,,,,,,,,,,,,,,,,,,,5.253,5.329,,,,,,,,,
PACL,2022-PACL-BK-042,BK,6/22/22,,,,,,,,KR,MAS,303,359,371,694.0,25.83,668.2,,0,,,,,,,,,,,,,,,,,,,,4.681,4.719,,,,,,,,,
PACL,2022-PACL-BK-043,BK,6/22/22,,,,,,,,KR,MAS,250,298,311,422.2,30.42,391.8,,0,,,,,,,,,,,,,,,,,,,,4.991,5.072,,,,,,,,,
PACL,2022-PACL-BK-044,BK,6/22/22,,,,,,,,KR,MAS,323,382,395,897.1,72.03,825.1,,0,,,,,,,,,,,,,,,,,,,,5.529,5.625,,,,,,,,,
PACL,2022-PACL-BK-045,BK,7/7/22,7,T,8,5.545,5.545,5.223,"yes, MAS altered",KR,MAS,265,316,329,464.2,26.30,437.9,348,326,515.0,422.0,92.9,,,,,,,,,,,,,,,,,4.437,4.555,,,,,,,,,
PACL,2022-PACL-BK-046,BK,7/7/22,8,O,8,5.982,5.896,5.607,"yes, MAS altered",KR,MAS,298,359,373,689.9,33.68,656.2,372,352,631.1,534.3,96.8,,,,,,,,,,,,,,,,,4.641,4.700,,,,,,,,,
PACL,2022-PACL-BK-047,BK,7/7/22,5,T,6,5.556,5.556,4.888,"yes, MAS altered",KR,MAS,243,291,303,373.8,19.37,354.4,349,304,518.4,338.2,180.2,,,,,,,,,,,,,,,,,5.211,5.265,,,,,,,,,
