Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-069,SMK,7/21/22,5,T,6,4.610,4.610,4.302,"yes, MAS altered",KR,MAS,220,267,277,315.0,21.91,293.1,285,265,277.8,219.9,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-070,SMK,7/21/22,7,T,8,5.091,5.091,4.837,"yes, MAS altered",KR,MAS,254,308,322,399.3,20.82,378.5,318,301,387.5,326.5,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-071,SMK,7/21/22,8,T,9,5.479,5.479,5.344,"yes, MAS altered",KR,MAS,293,350,362,625.5,33.01,592.5,344,335,494.9,455.5,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-072,SMK,7/21/22,,,,,,,"don't use, no otoliths",KR,MAS,216,260,269,288.3,18.68,269.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-073,SMK,7/21/22,6,T,7,5.221,5.221,4.897,"yes, MAS altered",KR,MAS,274,323,335,592.3,25.74,566.6,326,305,421.5,340.2,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-074,SMK,7/21/22,,,,,,,"don't use, no otoliths",KR,MAS,266,321,331,471.2,10.09,461.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-075,SMK,7/21/22,7,T,8,4.677,4.677,4.481,"yes, MAS altered",KR,MAS,250,300,311,338.1,13.52,324.6,290,277,291.6,252.4,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-076,SMK,7/21/22,5,T,6,4.729,4.729,4.279,"yes, MAS altered",KR,MAS,247,297,304,384.7,7.71,377.0,293,263,302.6,216.0,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-077,SMK,7/21/22,7,T,8,5.149,5.149,4.783,"yes, MAS altered",KR,MAS,264,317,323,502.5,25.20,477.3,321,297,402.4,314.4,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-078,SMK,7/21/22,,,,,,,,KR,MAS,257,310,318,466.6,27.92,438.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-079,SMK,7/21/22,,,,,,,,KR,MAS,208,253,258,247.8,25.29,222.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-080,SMK,7/21/22,,,,,,,,KR,MAS,245,294,306,249.2,24.18,225.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-081,SMK,7/21/22,,,,,,,,KR,MAS,264,318,327,488.6,24.20,464.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-082,SMK,7/21/22,,,,,,,,KR,MAS,243,289,296,389.0,34.84,354.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-083,SMK,7/21/22,,,,,,,,KR,MAS,283,337,348,573.6,31.17,542.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-084,SMK,7/21/22,,,,,,,,KR,MAS,230,278,288,319.0,20.51,298.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-085,SMK,7/21/22,,,,,,,,KR,MAS,265,311,322,329.5,42.04,287.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-086,SMK,7/21/22,,,,,,,,KR,MAS,218,265,276,287.7,14.86,272.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-087,SMK,7/21/22,,,,,,,,KR,MAS,249,300,311,439.0,45.44,393.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-088,SMK,8/4/22,6,T,7,5.024,5.024,4.876,"yes, MAS altered",KR,MAS,254,308,320,470.0,21.00,449.0,313,303,370.7,335.4,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-089,SMK,8/4/22,5,T,6,4.546,4.546,4.140,"yes, MAS altered",KR,MAS,244,299,309,378.6,33.17,345.4,281,254,265.0,193.1,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-090,SMK,8/4/22,6,T,7,4.972,4.972,4.791,"yes, MAS altered",KR,MAS,258,312,325,402.8,6.06,396.7,310,297,358.0,316.2,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-091,SMK,8/4/22,4,T,5,5.141,5.141,4.373,"yes, MAS altered",KR,MAS,255,301,310,400.6,26.44,374.2,321,269,400.3,232.5,167.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-092,SMK,8/4/22,4,O,4,4.738,4.669,4.127,"yes, MAS altered",KR,MAS,232,279,289,320.7,4.82,315.9,289,253,289.9,191.0,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-093,SMK,8/4/22,9,T,10,5.609,5.609,5.423,"yes, MAS altered",KR,MAS,267,321,336,462.8,13.97,448.8,352,340,535.0,478.3,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-094,SMK,8/4/22,5,O,5,5.407,5.247,4.556,"yes, MAS altered",KR,MAS,254,307,319,471.0,13.62,457.4,328,282,428.5,267.0,161.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-095,SMK,8/4/22,7,T,8,5.407,5.407,5.110,"yes, MAS altered",KR,MAS,264,315,330,444.0,9.31,434.7,339,319,473.6,392.3,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-096,SMK,8/4/22,6,O,6,4.533,4.441,4.300,"yes, MAS altered",KR,MAS,256,308,317,420.9,18.45,402.5,274,265,244.9,219.6,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-097,SMK,8/4/22,8,O,8,5.123,5.027,4.908,"yes, MAS altered",KR,MAS,274,327,339,550.2,20.77,529.4,313,305,371.4,342.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-098,SMK,8/4/22,6,T,7,4.766,4.766,4.220,"yes, MAS altered",KR,MAS,245,293,307,351.4,8.92,342.5,296,259,310.7,206.0,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-099,SMK,8/4/22,5,O,5,4.650,4.577,3.875,"yes, MAS altered",KR,MAS,268,323,339,572.7,48.51,524.2,283,236,271.1,154.1,117.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-100,SMK,8/4/22,4,O,4,5.091,5.009,4.697,"yes, MAS altered",KR,MAS,240,290,300,378.3,12.81,365.5,312,291,367.0,295.8,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-101,SMK,8/4/22,5,O,5,4.405,4.309,3.937,"yes, MAS altered",KR,MAS,208,249,261,244.7,8.30,236.4,265,240,221.1,162.7,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-102,SMK,8/4/22,6,T,7,5.001,5.001,4.768,"yes, MAS altered",KR,MAS,256,306,320,425.2,12.56,412.6,312,296,365.0,311.1,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-103,SMK,8/4/22,7,T,8,4.457,4.457,4.312,"yes, MAS altered",KR,MAS,225,267,279,293.2,10.02,283.2,275,265,247.9,221.7,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-104,SMK,8/4/22,4,O,4,4.476,4.400,3.736,"yes, MAS altered",KR,MAS,211,258,267,231.5,7.81,223.7,271,227,237.4,135.9,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-105,SMK,8/4/22,8,O,8,5.176,5.096,4.939,"yes, MAS altered",KR,MAS,267,317,336,554.6,15.98,538.6,318,307,388.7,350.1,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-106,SMK,8/4/22,5,O,5,4.814,4.678,4.274,"yes, MAS altered",KR,MAS,227,274,282,292.7,9.37,283.3,290,263,291.8,215.1,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-107,SMK,8/4/22,6,T,7,4.991,4.991,4.659,"yes, MAS altered",KR,MAS,260,309,327,488.5,19.47,469.0,311,289,362.6,287.8,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-108,SMK,8/4/22,7,T,8,5.151,5.151,4.981,"yes, MAS altered",KR,MAS,235,281,289,356.5,12.01,344.5,322,310,402.9,360.2,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-109,SMK,8/4/22,8,T,9,5.049,5.049,4.935,"yes, MAS altered",KR,MAS,259,310,324,471.2,14.45,456.8,315,307,376.9,349.2,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-110,SMK,8/11/22,4,T,5,4.283,4.283,4.062,"yes, MAS altered",KR,MAS,203,246,253,201.9,1.19,200.7,263,249,216.7,181.0,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-111,SMK,8/11/22,3,T,4,4.250,4.250,3.559,"yes, MAS altered",KR,MAS,212,260,271,215.1,9.54,205.6,261,215,211.1,115.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-112,SMK,8/11/22,,,,,,,"don't use, no otoliths",KR,MAS,230,281,296,310.1,16.69,293.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-113,SMK,8/11/22,6,T,7,5.507,5.507,4.890,"yes, MAS altered",KR,MAS,260,314,326,445.6,3.89,441.7,346,304,503.3,338.6,164.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-114,SMK,8/11/22,,,,,,,"don't use, no otoliths",KR,MAS,215,261,277,266.1,8.96,257.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-115,SMK,8/18/22,5,O,5,4.486,4.364,4.098,"yes, MAS altered",KR,MAS,213,259,266,221.5,9.55,212.0,269,251,230.8,186.5,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-116,SMK,8/18/22,6,O,6,5.094,5.035,4.669,"yes, MAS altered",KR,MAS,239,287,300,298.2,10.52,287.7,314,289,373.4,289.9,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-117,SMK,8/18/22,3,T,4,4.402,4.402,4.076,"yes, MAS altered",KR,MAS,222,268,277,239.6,3.00,236.6,271,250,237.7,183.1,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-118,SMK,8/18/22,8,T,9,5.418,5.418,4.912,"yes, MAS altered",KR,MAS,276,333,345,318.5,14.19,304.3,340,306,476.8,343.8,133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-119,SMK,8/18/22,5,O,5,5.028,4.885,4.481,"yes, MAS altered",KR,MAS,240,291,301,324.3,10.77,313.5,304,277,337.5,252.4,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-120,SMK,8/18/22,7,O,7,4.763,4.692,4.402,"yes, MAS altered",KR,MAS,230,275,286,286.1,8.10,278.0,291,271,294.8,237.7,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-121,SMK,8/18/22,7,O,7,4.610,4.508,4.148,"yes, MAS altered",KR,MAS,227,276,286,292.5,11.12,281.4,278,254,257.6,194.3,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-122,SMK,8/18/22,9,O,9,5.249,5.207,4.897,"don't use, deformed",KR,MAS,264,317,333,342.1,7.35,334.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-123,SMK,8/18/22,5,T,6,5.233,5.233,4.927,"yes, MAS altered",KR,MAS,237,289,299,258.5,11.67,246.8,327,307,424.7,347.3,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-124,SMK,8/18/22,4,T,5,4.719,4.719,4.286,"yes, MAS altered",KR,MAS,234,281,288,231.8,12.90,218.9,293,264,300.5,217.2,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-125,SMK,8/18/22,7,O,7,5.561,5.603,5.083,"don't use, deformed",KR,MAS,279,333,347,666.2,18.77,647.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-126,SMK,8/18/22,,,,,,,,KR,MAS,270,322,336,537.7,22.50,515.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-127,SMK,8/18/22,,,,,,,,KR,MAS,235,282,294,254.1,17.15,237.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-128,SMK,8/18/22,,,,,,,,KR,MAS,263,317,332,453.0,33.27,419.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-129,SMK,8/18/22,,,,,,,,KR,MAS,228,276,283,273.0,5.08,267.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-130,SMK,8/18/22,,,,,,,,KR,MAS,270,328,338,521.4,23.52,497.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-131,SMK,8/18/22,,,,,,,,KR,MAS,250,306,317,481.3,16.21,465.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-132,SMK,8/18/22,,,,,,,,KR,MAS,242,290,299,418.2,12.52,405.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-133,SMK,8/18/22,,,,,,,,KR,MAS,273,328,338,544.0,17.45,526.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-134,SMK,8/18/22,,,,,,,,KR,MAS,216,261,272,208.6,2.75,205.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-135,SMK,8/18/22,,,,,,,,KR,MAS,258,308,322,450.0,33.32,416.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-136,SMK,8/18/22,,,,,,,,KR,MAS,237,290,300,348.2,13.23,335.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-137,SMK,8/18/22,,,,,,,,KR,MAS,250,300,310,441.6,33.87,407.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-138,SMK,8/18/22,,,,,,,,KR,MAS,255,306,316,442.5,9.35,433.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-139,SMK,8/18/22,,,,,,,,KR,MAS,212,255,264,238.9,9.25,229.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-140,SMK,8/18/22,,,,,,,,KR,MAS,214,260,268,257.1,8.55,248.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-141,SMK,8/18/22,,,,,,,,KR,MAS,270,324,339,359.4,17.25,342.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-142,SMK,8/18/22,,,,,,,,KR,MAS,223,269,279,280.7,5.05,275.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-143,SMK,8/18/22,,,,,,,,KR,MAS,244,295,307,388.1,20.39,367.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-144,SMK,8/18/22,,,,,,,,KR,MAS,240,287,300,335.0,7.57,327.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-145,SMK,8/18/22,,,,,,,,KR,MAS,249,300,308,350.7,12.09,338.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-146,SMK,8/31/22,,,,,,,,KR,MAS,256,308,319,345.8,11.07,334.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-147,SMK,8/31/22,,,,,,,,KR,MAS,211,256,265,219.8,4.53,215.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-148,SMK,8/31/22,,,,,,,,KR,MAS,215,261,272,258.4,3.48,254.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-149,SMK,8/31/22,,,,,,,,KR,MAS,196,238,246,176.0,6.27,169.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-150,SMK,8/31/22,,,,,,,,KR,MAS,207,252,261,228.2,5.35,222.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-151,SMK,8/31/22,,,,,,,,KR,MAS,197,242,250,194.6,3.57,191.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-152,SMK,8/31/22,,,,,,,,KR,MAS,222,265,276,256.0,4.51,251.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-153,SMK,8/31/22,,,,,,,,KR,MAS,183,222,230,147.8,2.02,145.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-154,SMK,8/31/22,,,,,,,,KR,MAS,156,190,197,96.4,0.13,96.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-155,SMK,9/15/22,,,,,,,,KR,MAS,230,279,288,290.8,2.42,288.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-156,SMK,9/15/22,,,,,,,,KR,MAS,220,267,275,274.2,1.98,272.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-157,SMK,9/15/22,,,,,,,,KR,MAS,249,299,309,334.1,1.56,332.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-158,SMK,9/15/22,,,,,,,,KR,MAS,227,272,281,269.5,2.69,266.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-159,SMK,9/15/22,,,,,,,,KR,MAS,225,270,280,224.4,3.78,220.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-160,SMK,9/15/22,,,,,,,,KR,MAS,206,253,261,221.9,1.30,220.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-161,SMK,9/29/22,,,,,,,,KR,MAS,230,275,288,247.4,2.16,245.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-162,SMK,9/29/22,,,,,,,,KR,MAS,289,342,354,581.2,14.62,566.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-163,SMK,9/29/22,,,,,,,,KR,MAS,224,271,282,242.2,0.28,241.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-164,SMK,9/29/22,,,,,,,,KR,MAS,224,276,288,261.0,1.66,259.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-165,SMK,9/29/22,,,,,,,,KR,MAS,305,360,376,650.2,8.25,642.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-166,SMK,9/29/22,,,,,,,,KR,MAS,210,251,260,215.0,1.01,214.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-167,SMK,9/29/22,,,,,,,,KR,MAS,245,298,312,374.6,7.78,366.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-168,SMK,9/29/22,,,,,,,,KR,MAS,272,320,332,414.0,3.18,410.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-169,SMK,9/29/22,,,,,,,,KR,MAS,204,250,262.0,201.50,1.38,200.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-170,SMK,9/29/22,,,,,,,,KR,MAS,220,269,279,237.6,1.30,236.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-171,SMK,9/29/22,,,,,,,,KR,MAS,232,280,295,295.1,0.91,294.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-001,WNR,5/24/22,5,T,6,4.699,4.699,4.539,"yes, MAS altered",KR,MAS,258,306,320,420.5,13.76,406.7,291,281,296.2,263.6,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-002,WNR,5/24/22,3,T,4,4.767,4.767,4.186,"yes, MAS altered",KR,MAS,249,293,305,354.4,9.47,344.9,296,257,310.9,200.5,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-003,WNR,5/24/22,5,T,6,5.142,5.142,4.857,"yes, MAS altered",KR,MAS,273,324,337,495.2,24.75,470.5,321,302,400.6,331.0,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-004,WNR,5/24/22,4,T,5,4.701,4.701,4.223,"yes, MAS altered",KR,MAS,240,283,294,357.5,15.42,342.1,291,259,296.7,206.5,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-005,WNR,5/24/22,5,T,6,4.920,4.920,4.498,"yes, MAS altered",KR,MAS,251,300,312,412.2,15.02,397.2,306,278,345.6,255.7,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-006,WNR,5/24/22,6,T,7,4.806,4.806,4.466,"yes, MAS altered",KR,MAS,245,294,306,357.1,14.96,342.1,298,276,319.5,249.6,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-007,WNR,5/24/22,5,T,6,5.208,5.208,4.905,"yes, MAS altered",KR,MAS,243,287,301,365.0,8.49,356.5,325,305,418.0,342.1,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-008,WNR,5/24/22,6,T,7,4.672,4.672,4.221,"yes, MAS altered",KR,MAS,256,302,315,326.0,13.16,312.8,289,259,290.6,206.2,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-009,WNR,5/24/22,4,T,5,5.116,5.116,4.626,"yes, MAS altered",KR,MAS,252,298,308,421.8,13.88,407.9,319,286,393.9,281.0,112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-010,WNR,5/24/22,5,T,6,4.649,4.649,4.075,"yes, MAS altered",KR,MAS,241,289,300,345.4,7.61,337.8,288,249,285.8,183.0,102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-011,WNR,5/24/22,6,T,7,4.684,4.684,4.299,"yes, MAS altered",KR,MAS,228,272,282,282.0,9.62,272.4,290,264,293.1,219.4,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-012,WNR,5/24/22,8,T,9,5.746,5.746,5.470,"yes, MAS altered",KR,MAS,285,335,349,560.9,18.41,542.5,362,343,579.5,492.2,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-013,WNR,5/24/22,4,T,5,,,,"don't use, broken",KR,MAS,218,262,271,240.1,1.56,238.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-014,WNR,5/24/22,5,O,5,4.440,4.310,3.908,"yes, MAS altered",KR,MAS,233,274,284,235.7,2.80,232.9,265,238,221.3,158.6,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-015,WNR,5/24/22,7,T,8,5.421,5.421,5.154,"yes, MAS altered",KR,MAS,301,359,372,637.5,27.97,609.5,340,322,477.7,403.7,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-016,WNR,5/24/22,,,,,,,,KR,MAS,264,311,323,410.8,15.83,395.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-017,WNR,5/24/22,,,,,,,,KR,MAS,267,310,325,463.6,14.03,449.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-018,WNR,6/9/22,3,T,4,4.658,4.658,4.159,"yes, MAS altered",KR,MAS,220,265,275,272.8,18.18,254.6,289,255,287.6,196.1,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-019,WNR,6/9/22,2,T,3,4.287,4.287,3.953,"yes, MAS altered",KR,MAS,186,226,234,191.0,3.00,188.0,264,241,217.3,164.9,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-020,WNR,6/9/22,6,T,7,4.772,4.772,4.484,"yes, MAS altered",KR,MAS,243,296,309,411.7,20.95,390.8,296,277,312.0,253.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-021,WNR,6/9/22,2,T,3,4.166,4.166,3.682,"yes, MAS altered",KR,MAS,191,238,244,206.2,2.17,204.0,256,223,197.2,129.3,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-022,WNR,6/9/22,,,,,,,"don't use, no otoliths",KR,MAS,250,304,321,455.5,22.79,432.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-023,WNR,6/9/22,5,T,6,4.518,4.518,4.365,"yes, MAS altered",KR,MAS,221,268,279,295.4,12.98,282.4,279,269,259.5,231.0,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-WNR-024,WNR,6/21/22,7,T,8,6.009,6.009,5.803,"yes, MAS altered",KR,MAS,293,350,362,651.1,18.72,632.4,379,365,671.9,598.8,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
